City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
276,Port-Gentil,GA,-0.7193,8.7815,82.36,69,40,10.36,scattered clouds
277,Severodvinsk,RU,64.5635,39.8302,51.91,82,98,14.12,overcast clouds
278,Sorland,NO,67.667,12.6934,48.06,71,0,16.11,clear sky
279,Las Cruces,US,32.3123,-106.7783,87.91,31,0,4.0,clear sky
280,Pitanga,BR,-24.7572,-51.7614,59.36,94,100,5.41,overcast clouds
281,Ballina,AU,-28.8667,153.5667,48.78,75,0,8.86,clear sky
282,Matagami,CA,49.7502,-77.6328,57.31,88,100,8.05,overcast clouds
283,Vanimo,PG,-2.6741,141.3028,79.2,84,39,4.32,scattered clouds
284,Domodossola,IT,46.1165,8.2931,86.05,20,0,8.01,clear sky
285,Nago,JP,26.5881,127.9761,81.45,87,100,14.07,overcast clouds
286,Lourdes,FR,43.1,-0.05,80.08,41,0,6.91,clear sky
287,La Rioja,ES,42.25,-2.5,85.78,23,100,7.29,overcast clouds
288,Mayo,US,38.8876,-76.5119,76.33,58,0,9.22,clear sky
289,Meulaboh,ID,4.1363,96.1285,77.07,89,100,10.11,overcast clouds
290,Port Hedland,AU,-20.3167,118.5667,73.45,49,100,8.05,light rain
291,Novaci,RO,45.1833,23.6667,69.64,75,55,4.47,moderate rain
292,Qarqin,AF,37.4185,66.0436,104.07,9,4,15.05,clear sky
293,Teyateyaneng,LS,-29.1472,27.7489,59.29,27,0,0.45,clear sky
294,Kiunga,PG,-6.1219,141.2906,73.29,100,100,0.74,moderate rain
295,Bengkulu,ID,-3.8004,102.2655,74.03,94,100,7.43,overcast clouds
296,Qom,IR,34.6401,50.8764,99.86,4,0,16.2,clear sky
297,Ales,FR,44.1333,4.0833,87.69,21,2,13.33,clear sky
298,Asau,RO,46.4333,26.4,72.52,91,100,3.44,overcast clouds
299,Taksimo,RU,56.3444,114.8794,60.37,74,92,3.36,overcast clouds
300,Ilulissat,GL,69.2167,-51.1,35.62,87,75,4.61,broken clouds
301,Yining,CN,29.0361,114.5636,72.57,93,100,2.3,overcast clouds
302,Oeiras Do Para,BR,-2.0031,-49.8544,80.8,78,95,3.11,overcast clouds
303,Visby,SE,57.6409,18.296,72.05,68,0,10.36,clear sky
304,Beloha,MG,-25.1667,45.05,71.62,65,0,10.76,clear sky
305,Luau,AO,-10.7073,22.2247,79.79,26,93,2.33,overcast clouds
306,Fare,PF,-16.7,-151.0167,79.45,76,0,14.27,clear sky
307,Upernavik,GL,72.7868,-56.1549,30.74,81,55,7.31,broken clouds
308,Chemal,RU,51.4111,86.005,67.96,69,5,0.47,clear sky
309,Cidreira,BR,-30.1811,-50.2056,59.97,87,99,17.43,overcast clouds
310,Madaoua,NE,14.073,5.96,104.4,18,0,5.14,clear sky
311,Los Llanos De Aridane,ES,28.6585,-17.9182,72.12,85,0,17.27,clear sky
312,Aklavik,CA,68.2191,-135.0107,40.15,60,100,11.72,overcast clouds
313,Tiznit,MA,29.5833,-9.5,90.14,31,0,9.78,clear sky
314,Ndungu,TZ,-4.3667,38.05,79.54,52,100,8.95,overcast clouds
315,Sokolo,ML,14.7328,-6.1219,108.45,9,1,10.38,clear sky
316,Doha,QA,25.2867,51.5333,109.71,16,0,21.85,clear sky
317,Samoded,RU,63.6083,40.5111,48.88,92,99,9.64,overcast clouds
318,Cabo Rojo,PR,18.0866,-67.1457,88.25,65,94,3.27,overcast clouds
319,Sorong,ID,-0.8833,131.25,79.63,81,66,5.48,light rain
320,Molo,KE,-0.2479,35.7374,63.79,57,100,5.37,light rain
321,Brooks,CA,50.5834,-111.8851,67.98,52,71,17.27,broken clouds
322,Goderich,CA,43.7501,-81.7165,57.52,77,8,4.61,clear sky
323,Nabire,ID,-3.3667,135.4833,76.44,91,99,3.04,overcast clouds
324,Bembereke,BJ,10.2283,2.6634,99.03,29,50,1.63,scattered clouds
325,Rio Grande,BR,-32.035,-52.0986,55.51,67,13,21.99,few clouds
326,Lanja,IN,16.85,73.55,80.26,79,63,5.46,heavy intensity rain
327,Muroto,JP,33.2833,134.15,71.69,83,100,4.68,light rain
328,Portland,US,45.5234,-122.6762,64.63,93,75,7.0,broken clouds
329,Longyearbyen,SJ,78.2186,15.6401,37.24,75,75,3.44,broken clouds
330,Dharchula,IN,29.85,80.5333,76.98,42,64,5.39,broken clouds
331,Aden,YE,12.7794,45.0367,89.29,69,61,3.27,broken clouds
332,Canico,PT,32.6333,-16.85,83.71,73,20,5.75,few clouds
333,Sisimiut,GL,66.9395,-53.6735,39.74,74,16,4.0,few clouds
334,Yulara,AU,-25.2406,130.9889,49.87,49,100,10.22,overcast clouds
335,Yangambi,CD,0.8102,24.4336,89.65,42,92,2.17,overcast clouds
336,Hervey Bay,AU,-25.2986,152.8535,50.02,72,0,3.0,clear sky
337,Mecca,SA,21.4267,39.8261,103.84,26,4,13.15,clear sky
338,Gawler,AU,-34.6,138.7333,53.24,97,59,1.74,broken clouds
339,Rawson,AR,-43.3002,-65.1023,40.23,47,5,9.28,clear sky
340,Roma,US,43.2128,-75.4557,65.73,69,75,14.97,broken clouds
341,Igrim,RU,63.1906,64.4162,68.5,53,23,3.58,few clouds
342,La Tuque,CA,47.4334,-72.7824,57.45,88,100,4.61,light rain
343,Yerbogachen,RU,61.2767,108.0108,52.45,76,83,2.53,light rain
344,Iqaluit,CA,63.7506,-68.5145,44.33,70,20,10.36,few clouds
345,Airai,TL,-8.9266,125.4092,59.52,96,82,4.41,broken clouds
346,Chumikan,RU,54.7183,135.315,37.8,97,98,1.19,overcast clouds
347,Okitipupa,NG,6.5047,4.7839,83.28,77,100,6.31,light rain
