City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
271,Zeya,RU,2022-06-06 19:58:22,53.75,127.2667,58.44,65,13,3.65
272,Aviles,ES,2022-06-06 19:54:40,43.5547,-5.9248,63.93,79,75,6.91
273,Lima,PE,2022-06-06 19:58:03,-12.0432,-77.0282,67.39,67,100,5.75
274,Kruisfontein,ZA,2022-06-06 19:58:22,-34.0033,24.7314,57.74,52,0,3.18
275,Superior,US,2022-06-06 19:58:23,46.7208,-92.1041,72.48,54,0,10.36
276,Menongue,AO,2022-06-06 19:58:23,-14.6585,17.691,51.82,53,7,5.99
277,Humaita,BR,2022-06-06 19:58:23,-7.5061,-63.0208,84.06,66,94,1.68
278,Riyadh,SA,2022-06-06 19:57:45,24.6877,46.7219,95.14,7,27,3.29
279,Airai,TL,2022-06-06 19:58:24,-8.9266,125.4092,57.67,91,58,2.84
280,Iranshahr,IR,2022-06-06 19:58:24,27.2025,60.6848,93.54,7,0,4.61
281,Santa Cruz,BO,2022-06-06 19:58:24,-17.8,-63.1667,86.05,51,75,13.8
282,Vila Franca Do Campo,PT,2022-06-06 19:58:25,37.7167,-25.4333,66.61,94,72,9.89
283,Helong,CN,2022-06-06 19:58:25,42.5397,128.9972,44.6,98,100,2.01
284,Great Yarmouth,GB,2022-06-06 19:58:25,52.6083,1.7305,55.65,85,100,9.24
285,Poso,ID,2022-06-06 19:58:26,-1.3959,120.7524,74.95,87,96,2.48
286,Hella,NO,2022-06-06 19:58:26,67.2,14.4333,50.76,88,75,19.57
287,Portland,US,2022-06-06 19:57:14,45.5234,-122.6762,67.51,61,53,4.0
288,Porto Velho,BR,2022-06-06 19:58:26,-8.7619,-63.9039,87.85,58,0,4.61
289,Pisco,PE,2022-06-06 19:54:59,-13.7,-76.2167,69.85,64,0,6.91
290,Sur,OM,2022-06-06 19:58:27,22.5667,59.5289,85.26,63,36,14.0
291,San Policarpo,PH,2022-06-06 19:58:27,12.1791,125.5072,78.17,86,9,5.39
292,Kharan,PK,2022-06-06 19:58:27,28.5833,65.4167,81.57,7,0,5.32
